F-ID,Status,Feature,Precondition,Trigger,Behavior,판정기준,우선순위
F-001,live,문단 붙여넣기,편집 메인 진입,입력 후 캔버스에 올리기,빈 줄 기준 여러 텍스트 블록 생성,원문 순서와 줄바꿈 보존,P0
F-002,change,비율 지정,canvas.mode=ratio,비율 선택·내용 변경,"폭·글자·장 비율을 고정하고 블록 경계 기준 여러 PNG 생성",모든 장의 픽셀 크기가 같고 내용이 누락되지 않음,P0
F-003,change,내용 맞춤,canvas.mode=fit,너비 선택·내용 변경,너비를 유지하고 캔버스 높이를 계속 확장,한 PNG에 전체 내용 포함,P0
F-004,new,미리보기 줌,편집 메인 진입,−·＋·맞춤·핀치·Ctrl/⌘+휠,저장 규격과 독립된 화면 배율 적용,줌 후 저장 결과 픽셀 크기 불변,P0
F-005,new,미리보기 이동,확대되어 뷰포트보다 큼,두 손가락 중심 이동·스크롤,가로·세로 영역 탐색,확대된 네 모서리에 접근 가능,P0
F-006,change,모바일 패널 스냅,폭 900px 미만,손잡이 탭·상하 드래그,min↔compact↔full 전환,세 단계에 정착하고 키보드 높이 반영,P0
F-007,change,편집 진입 높이,폭 900px 미만,도구·사진·서명·블록 편집 진입,모두 full 높이 사용,콘텐츠 종류에 따른 임의 높이 차이 없음,P1
F-008,change,입력 글자 크기,모바일 입력,기기 글자 크기 설정·포커스,제품 CSS 크기 유지,값·placeholder·컨트롤 크기 불일치 없음,P0
F-009,live,PNG 저장,블록 1개 이상,이미지 저장,폰트·배경·서식을 포함한 PNG 생성,모바일 공유 또는 다운로드 가능,P0
F-010,live,설정 입출력,유효 JSON,내보내기·불러오기,캐릭터·서식·캔버스·테마 복원,블록 본문은 설정 파일에서 제외,P1
