Test ID,대상,조건,절차,기대 결과,우선순위
T-001,비율 지정,9:16·긴 원문,여러 문단 붙여넣기 후 저장,560px 기준 동일 비율 PNG가 여러 장 생성되고 블록 누락 없음,P0
T-002,내용 맞춤,너비 320·긴 원문,fit 선택 후 저장,너비 고정·높이 증가·단일 PNG,P0
T-003,모바일 줌,iOS Safari·Android Chrome,두 손가락 벌리기·오므리기,0.5~4배 내 미리보기 확대 축소,P0
T-004,모바일 이동,미리보기 200% 이상,두 손가락 중심을 이동하고 스크롤,가로·세로 전체 확인 가능,P0
T-005,저장 독립,미리보기 200%,PNG 저장 후 픽셀 확인,맞춤 상태 저장본과 크기·줄바꿈 동일,P0
T-006,패널 스냅,모바일,손잡이를 위·아래로 연속 드래그,min·compact·full 세 높이에 정착,P0
T-007,편집 높이,모바일,도구·사진·서명·텍스트 블록을 각각 열기,모두 full 높이 사용,P1
T-008,기기 글자 설정,OS 글자 크기 크게,입력·스테퍼·색상값 확인,제품 내 값 글자 크기가 임의 확대되지 않음,P0
T-009,키보드,모바일,입력 포커스 후 패널 드래그,visualViewport 기준 패널이 키보드에 가리지 않음,P0
T-010,회귀,PC 900·1200px,붙여넣기·편집·저장,사이드 패널과 마우스 팬 정상,P1
